text,text_bert,text_clasico,sentiment,language,source,n_palabras
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,BYND_TICKER - JPMorgan reels in expectations on Beyond Meat,bynd_ticker jpmorgan reels expectations beyond meat,negative,en,Twitter Financial News,10
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,CCL_TICKER RCL_TICKER - Nomura points to bookings weakness at Carnival and Royal Caribbean,ccl_ticker rcl_ticker nomura points bookings weakness carnival royal caribbean,negative,en,Twitter Financial News,14
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb","CX_TICKER - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook","cx_ticker cemex cut credit suisse, j.p. morgan weak building outlook",negative,en,Twitter Financial News,14
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,ESS_TICKER BTIG Research cuts to Neutral,ess_ticker btig research cuts neutral,negative,en,Twitter Financial News,7
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,FNKO_TICKER - Funko slides after Piper Jaffray PT cut,fnko_ticker funko slides piper jaffray cut,negative,en,Twitter Financial News,10
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,FTI_TICKER - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank,fti_ticker technipfmc downgraded berenberg called top pick deutsche bank,negative,en,Twitter Financial News,14
$GM - GM loses a bull https://t.co/tdUfG5HbXy,GM_TICKER - GM loses a bull,gm_ticker loses bull,negative,en,Twitter Financial News,7
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,GM_TICKER Deutsche Bank cuts to Hold,gm_ticker deutsche bank cuts hold,negative,en,Twitter Financial News,7
$GTT: Cowen cuts to Market Perform,GTT_TICKER Cowen cuts to Market Perform,gtt_ticker cowen cuts perform,negative,en,Twitter Financial News,6
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,HNHAF_TICKER HNHPD_TICKER AAPL_TICKER - Trendforce cuts iPhone estimate after Foxconn delay,hnhaf_ticker hnhpd_ticker aapl_ticker trendforce cuts iphone estimate foxconn delay,negative,en,Twitter Financial News,12
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,HOG_TICKER - Moody s warns on Harley-Davidson,hog_ticker moody warns harley-davidson,negative,en,Twitter Financial News,7
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU","HXL_TICKER - Citing aero ties, Wells slashes PT on Hexcel","hxl_ticker citing aero ties, wells slashes hexcel",negative,en,Twitter Financial News,11
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,$I - Intelsat cut to Market Perform at Raymond James,intelsat cut perform raymond james,negative,en,Twitter Financial News,11
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,KRG_TICKER Compass Point cuts to Sell,krg_ticker compass point cuts sell,negative,en,Twitter Financial News,7
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,LK_TICKER - Muddy Waters goes short Luckin Coffee,lk_ticker muddy waters goes short luckin coffee,negative,en,Twitter Financial News,9
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,MANT_TICKER - ManTech downgraded ahead of difficult comps,mant_ticker mantech downgraded ahead difficult comps,negative,en,Twitter Financial News,9
$MDCO: Oppenheimer cuts to Perform,MDCO_TICKER Oppenheimer cuts to Perform,mdco_ticker oppenheimer cuts perform,negative,en,Twitter Financial News,5
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,MPLX_TICKER MPC_TICKER - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,mplx_ticker mpc_ticker mplx cut credit suisse potential dilution marathon strategic review,negative,en,Twitter Financial News,16
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,MSGN_TICKER - Imperial downgrades MSG Networks amid sports-free airwaves,msgn_ticker imperial downgrades msg networks amid sports-free airwaves,negative,en,Twitter Financial News,10
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,MTLS_TICKER - Piper hits the Materialise sidelines,mtls_ticker piper hits materialise sidelines,negative,en,Twitter Financial News,8
$NCBS: Hovde Group cuts to Market Perform,NCBS_TICKER Hovde Group cuts to Market Perform,ncbs_ticker hovde group cuts perform,negative,en,Twitter Financial News,7
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,NFLX_TICKER - New Netflix bear steps out,nflx_ticker new netflix bear steps,negative,en,Twitter Financial News,8
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,SHOP_TICKER - Shopify loses a bull,shop_ticker shopify loses bull,negative,en,Twitter Financial News,7
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,STAY_TICKER - Nomura Instinet loses confidence in Extended Stay America,stay_ticker nomura instinet loses confidence extended stay america,negative,en,Twitter Financial News,11
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,TWLO_TICKER - Twilio gets Street-low target on virus risk,twlo_ticker twilio gets street-low target virus risk,negative,en,Twitter Financial News,10
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,VCLT_TICKER SPLB_TICKER IGLB_TICKER - Guggenheim s Minerd sees more gloom ahead in stocks,vclt_ticker splb_ticker iglb_ticker guggenheim minerd sees gloom ahead stocks,negative,en,Twitter Financial News,13
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,VIAC_TICKER VIACA_TICKER FOX_TICKER - MoffettNathanson expects NFL TV costs to skyrocket,viac_ticker viaca_ticker fox_ticker moffettnathanson expects nfl costs skyrocket,negative,en,Twitter Financial News,12
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,VIAC_TICKER Barrington Research cuts to Mkt Perform,viac_ticker barrington research cuts mkt perform,negative,en,Twitter Financial News,8
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,XLNX_TICKER - Mizuho cuts XLNX target on near-term headwinds,xlnx_ticker mizuho cuts xlnx target near-term headwinds,negative,en,Twitter Financial News,10
2U downgraded to sector weight from overweight at KeyBanc Capital,2U downgraded to sector weight from overweight at KeyBanc Capital,downgraded sector weight overweight keybanc capital,negative,en,Twitter Financial News,10
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook,alphabet facebook price targets cut barclays weaker outlook,negative,en,Twitter Financial News,13
AMC Networks price target cut to $35 from $39 at Imperial Capital,AMC Networks price target cut to $35 from $39 at Imperial Capital,amc networks price target cut $35 $39 imperial capital,negative,en,Twitter Financial News,12
American Software downgraded to neutral from buy at B. Riley FBR,American Software downgraded to neutral from buy at B. Riley FBR,american software downgraded neutral buy riley fbr,negative,en,Twitter Financial News,11
Analysts question Silicon Motion's margin outlook,Analysts question Silicon Motion s margin outlook,analysts question silicon motion margin outlook,negative,en,Twitter Financial News,6
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,anchiano therapeutics downgraded peer perform outperform oppenheimer,negative,en,Twitter Financial News,10
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,arch coal price target cut $97 $100 riley fbr,negative,en,Twitter Financial News,14
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,AT T downgraded by MoffettNathanson to sell on concern wireless can t carry the whole company,downgraded moffettnathanson sell concern wireless carry whole company,negative,en,Twitter Financial News,14
AT&T shares sink after MoffettNathanson downgrade,AT T shares sink after MoffettNathanson downgrade,shares sink moffettnathanson downgrade,negative,en,Twitter Financial News,6
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling","AT T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling","falls moffettnathanson downgrades, saying dividend looks less compelling",negative,en,Twitter Financial News,11
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,aurora cannabis price target cut c$1.00 c$1.75 stifel nicolaus,negative,en,Twitter Financial News,13
Autodesk downgraded to underweight from neutral at JPMorgan,Autodesk downgraded to underweight from neutral at JPMorgan,autodesk downgraded underweight neutral jpmorgan,negative,en,Twitter Financial News,8
BAML warns of profit pressure for Hormel,BAML warns of profit pressure for Hormel,baml warns profit pressure hormel,negative,en,Twitter Financial News,7
Barclays cools on Molson Coors,Barclays cools on Molson Coors,barclays cools molson coors,negative,en,Twitter Financial News,5
Becton Dickinson downgraded to outperform from strong buy at Raymond James,Becton Dickinson downgraded to outperform from strong buy at Raymond James,becton dickinson downgraded outperform strong buy raymond james,negative,en,Twitter Financial News,11
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,becton dickinson downgraded sector weight overweight keybanc capital,negative,en,Twitter Financial News,11
Berry Petroleum downgraded to market perform from outperform at BMO Capital,Berry Petroleum downgraded to market perform from outperform at BMO Capital,berry petroleum downgraded perform outperform bmo capital,negative,en,Twitter Financial News,11
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,berry petroleum downgraded underweight sector weight keybanc capital,negative,en,Twitter Financial News,11
Bluebird bio downgraded to in line from outperform at Evercore ISI,Bluebird bio downgraded to in line from outperform at Evercore ISI,bluebird bio downgraded line outperform evercore isi,negative,en,Twitter Financial News,11
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,bluebird bio price target cut $86 $172 evercore isi,negative,en,Twitter Financial News,13
Canada Goose downgraded to buy from strong buy at CFRA,Canada Goose downgraded to buy from strong buy at CFRA,canada goose downgraded buy strong buy cfra,negative,en,Twitter Financial News,10
Canada Goose stock price target cut to $50 from $65 at CFRA,Canada Goose stock price target cut to $50 from $65 at CFRA,canada goose price target cut $50 $65 cfra,negative,en,Twitter Financial News,12
Children's Place downgraded as e-commerce puts margins at risk,Children s Place downgraded as e-commerce puts margins at risk,children place downgraded e-commerce puts margins risk,negative,en,Twitter Financial News,9
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,Children s Place price target cut to $80 from $105 at Monness Crespi Hardt,children place price target cut $80 $105 monness crespi hardt,negative,en,Twitter Financial News,13
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,Cinedigm Corp. Analysts Are Cutting Their Estimates Here s What You Need To Know,cinedigm corp. analysts cutting estimates need know,negative,en,Twitter Financial News,13
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,clovis oncology price target cut $12 evercore isi,negative,en,Twitter Financial News,13
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,cumberland pharmaceuticals price target cut $9.00 $12.25 riley fbr,negative,en,Twitter Financial News,14
"Dell, HPE targets trimmed on compute headwinds","Dell, HPE targets trimmed on compute headwinds","dell, hpe targets trimmed compute headwinds",negative,en,Twitter Financial News,7
Dish may not be key winner amid Intelsat woes - analyst,Dish may not be key winner amid Intelsat woes - analyst,dish may key winner amid intelsat woes analyst,negative,en,Twitter Financial News,11
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,Disney downgraded as analyst says parks attendance could take 2 years to normalize,disney downgraded analyst says parks attendance could take years normalize,negative,en,Twitter Financial News,14
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,Downgrades 11 25 AEO_TICKER COLM_TICKER DGII_TICKER EQT_TICKER ESS_TICKER EVRG_TICKER GTT_TICKER KRG_TICKER MANT_TICKER MDCO_TICKER NFLX_TICKER OMP_TICKER PEG_TICKER PRU_TICKER SBT_TICKER SITC_TICKER TAP_TICKER VIPS_TICKER,downgrades aeo_ticker colm_ticker dgii_ticker eqt_ticker ess_ticker evrg_ticker gtt_ticker krg_ticker mant_ticker mdco_ticker nflx_ticker omp_ticker peg_ticker pru_ticker sbt_ticker sitc_ticker tap_ticker vips_ticker,negative,en,Twitter Financial News,20
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,Downgrades 4 7 MLND_TICKER MSGN_TICKER MTLS_TICKER $O OC_TICKER OVV_TICKER PEB_TICKER PK_TICKER PLYA_TICKER QEP_TICKER RHP_TICKER RPAI_TICKER SAIA_TICKER SDC_TICKER SHOP_TICKER SKY_TICKER SLG_TICKER SM_TICKER TWLO_TICKER,downgrades mlnd_ticker msgn_ticker mtls_ticker oc_ticker ovv_ticker peb_ticker pk_ticker plya_ticker qep_ticker rhp_ticker rpai_ticker saia_ticker sdc_ticker shop_ticker sky_ticker slg_ticker sm_ticker twlo_ticker,negative,en,Twitter Financial News,22
Dropbox on watch after stinging Spruce Point report,Dropbox on watch after stinging Spruce Point report,dropbox watch stinging spruce point report,negative,en,Twitter Financial News,8
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts","Earnings Update electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts","earnings update electrocore, inc. reported analysts trimming forecasts",negative,en,Twitter Financial News,12
Evercore downgrades bluebird bio and Clovis in premarket analyst action,Evercore downgrades bluebird bio and Clovis in premarket analyst action,evercore downgrades bluebird bio clovis premarket analyst action,negative,en,Twitter Financial News,10
